ticker,market_cap_mil_jpy,shares_outstanding,dividend_yield_pct,dividend_per_share_yen,per,pbr,eps_yen,bps_yen,roe_pct,equity_ratio_pct,min_lot_price_yen,trading_unit_shares,ytd_high_yen,ytd_high_date,ytd_low_yen,ytd_low_date,asof_date
1301.T,59184,12078283,3.06,150.0,7.1,0.85,690.39,5750.68,10.74,36.5,490000,100,5220,2025-09-09,3615,2025-04-07,2025-10-24
1332.T,337581,312430277,2.59,28.0,13.43,1.24,80.43,871.66,9.65,43.6,108050,100,1092,2025-10-23,795,2025-04-07,2025-10-24
1333.T,173384,50578837,3.21,110.0,9.87,0.76,347.4,4496.74,10.65,33.7,342800,100,3600,2025-09-10,2874,2025-01-17,2025-10-24
1375.T,41826,39910700,1.53,16.0,20.79,3.72,50.4,281.71,12.61,32.7,104800,100,1239,2025-02-17,991,2025-04-07,2025-10-24
1376.T,20473,11772626,2.19,38.0,12.92,0.77,134.62,2269.87,4.85,50.7,173900,100,1859,2025-10-16,1310,2025-04-07,2025-10-24
1377.T,182778,45410750,1.86,75.0,19.34,1.06,208.09,3793.56,6.04,84.5,402500,100,4155,2025-10-08,3035,2025-04-07,2025-10-24
1379.T,63049,33359040,,,13.62,1.02,138.79,1844.12,7.96,52.8,189000,100,1986,2025-09-18,1690,2025-04-07,2025-10-24
1384.T,23135,8459000,2.56,70.0,11.23,1.59,243.53,1718.19,16.48,73.7,273500,100,2739,2025-10-24,1190,2025-01-17,2025-10-24
1414.T,269894,54745180,3.69,182.0,16.46,2.4,299.6,2058.03,14.47,81.4,493000,100,5440,2025-08-13,4439,2025-04-07,2025-10-24
1417.T,272149,91325329,2.85,85.0,12.71,1.05,234.48,2849.99,6.69,48.6,298000,100,2990,2025-10-23,1860,2025-04-07,2025-10-24
1419.T,106335,29455800,5.43,196.0,17.44,4.07,206.98,886.67,4.07,37.1,361000,100,4030,2025-05-28,3050,2025-01-17,2025-10-24
1420.T,8935,12620000,3.53,25.0,6.61,0.53,107.09,1342.15,4.45,30.3,70800,100,742,2025-03-10,600,2025-04-07,2025-10-24
1429.T,32327,34760000,3.76,35.0,14.35,2.91,64.79,320.04,18.53,43.8,93000,100,948,2025-09-02,650,2025-04-07,2025-10-24
1430.T,12642,13363540,4.65,44.0,6.46,1.19,146.48,795.76,18.32,39.2,94600,100,1058,2025-09-30,826,2025-01-17,2025-10-24
1433.T,9831,9230600,3.76,40.0,17.24,1.86,61.78,573.49,9.16,43.9,106500,100,1285,2025-08-25,882,2025-04-07,2025-10-24
1435.T,16858,91127000,1.08,2.0,15.11,1.77,12.24,104.58,10.19,70.3,18500,100,204,2025-09-24,124,2025-01-17,2025-10-24
1446.T,5829,10734200,1.47,8.0,29.53,1.75,18.39,310.24,4.98,45.6,54300,100,595,2025-03-25,500,2025-04-07,2025-10-24
1514.T,39796,67222853,2.53,15.0,22.12,1.35,26.76,438.77,15.25,96.5,59200,100,862,2025-02-04,541,2025-04-07,2025-10-24
1515.T,149005,83523190,2.05,36.6,19.5,0.99,91.51,1800.59,6.39,58.9,178400,100,1996,2025-09-30,872,2025-01-14,2025-10-24
1518.T,87140,65322000,3.45,46.0,12.86,1.11,103.74,1201.06,13.43,55.5,133400,100,1600,2025-09-30,655,2025-04-07,2025-10-24
1605.T,3587279,1259136067,3.51,100.0,9.22,0.74,308.96,3830.23,9.46,65.3,284900,100,2849,2025-10-24,1651,2025-04-09,2025-10-24
1662.T,338727,257000380,3.03,40.0,10.22,0.64,128.95,2046.18,15.73,77.4,131800,100,1352,2025-09-26,893,2025-04-07,2025-10-24
1663.T,98184,28336061,1.44,50.0,12.84,0.91,269.85,3795.26,6.61,80.6,346500,100,3985,2025-01-06,2345,2025-04-07,2025-10-24
167A.T,159732,54000000,4.73,140.0,19.75,0.91,149.75,3235.49,7.14,57.0,295800,100,3170,2025-09-12,2035,2025-04-07,2025-10-24
1712.T,31097,16827120,0.43,8.0,22.99,1.71,80.37,1081.21,7.28,60.3,184800,100,1849,2025-10-23,920,2025-04-07,2025-10-24
1716.T,15708,12000000,3.06,40.0,11.41,0.77,114.68,1709.54,7.1,86.4,130900,100,1508,2025-02-13,1240,2025-04-07,2025-10-24
1717.T,14105,12775900,3.89,43.0,14.0,2.42,78.83,455.42,17.1,69.5,110400,100,1155,2025-10-06,811,2025-04-07,2025-10-24
1719.T,315701,181021197,4.59,80.0,15.19,1.61,114.82,1085.65,16.28,46.0,174400,100,1769,2025-09-09,1118,2025-01-17,2025-10-24
1720.T,115836,106761205,3.59,39.0,15.75,1.14,68.89,947.96,6.58,37.1,108500,100,1187,2025-09-09,698,2025-04-07,2025-10-24
1721.T,519232,133000000,3.07,120.0,14.79,1.23,263.89,3170.33,8.17,69.3,390400,100,3915,2025-10-24,2850,2025-04-07,2025-10-24
1726.T,15341,45795000,4.78,16.0,11.58,1.02,28.94,329.09,8.64,35.7,33500,100,353,2025-08-07,296,2025-04-07,2025-10-24
1762.T,121517,34818578,2.58,90.0,15.58,0.89,224.02,3924.44,4.75,51.1,349000,100,3590,2025-09-26,2413,2025-04-07,2025-10-24
