Date,Issue,Code,Sector,Component Weight (TOPIX),New Index Series Code
20241031,"KYOKUYO CO.,LTD.",1301,"Fishery,Agriculture & Forestry",0.0063%,TOPIX Small 2
20241031,"Nissui Corporation",1332,"Fishery,Agriculture & Forestry",0.0338%,TOPIX Mid400
20241031,"Maruha Nichiro Corporation",1333,"Fishery,Agriculture & Forestry",0.0162%,TOPIX Mid400
20241031,"YUKIGUNI MAITAKE CO.,LTD.",1375,"Fishery,Agriculture & Forestry",0.0032%,TOPIX Small 2
20241031,"KANEKO SEEDS CO.,LTD.",1376,"Fishery,Agriculture & Forestry",0.0014%,TOPIX Small 2
20241031,"SAKATA SEED CORPORATION",1377,"Fishery,Agriculture & Forestry",0.0144%,TOPIX Small 1
20241031,"HOKUTO CORPORATION",1379,"Fishery,Agriculture & Forestry",0.0059%,TOPIX Small 2
20241031,"Hokuryo Co.,Ltd.",1384,"Fishery,Agriculture & Forestry",0.0001%,TOPIX Small 2
20241031,"SHO-BOND Holdings Co.,Ltd.",1414,"Construction",0.0257%,TOPIX Mid400
20241031,"MIRAIT ONE Corporation",1417,"Construction",0.0260%,TOPIX Mid400
20241031,"Tama Home Co.,Ltd.",1419,"Construction",0.0088%,TOPIX Small 1
20241031,"Sanyo Homes Corporation",1420,"Construction",0.0000%,TOPIX Small 2
20241031,"Nippon Aqua Co.,Ltd.",1429,"Construction",0.0002%,TOPIX Small 2
20241031,"First-corporation Inc.",1430,"Construction",0.0001%,TOPIX Small 2
20241031,"BESTERRA CO.,LTD",1433,"Construction",0.0001%,TOPIX Small 2
20241031,"robot home Inc.",1435,"Real Estate",0.0009%,TOPIX Small 2
20241031,"CANDEAL Co.,Ltd.",1446,"Construction",0.0000%,TOPIX Small 2
20241031,"Sumiseki Holdings,Inc.",1514,"Mining",0.0038%,TOPIX Small 1
20241031,"Nittetsu Mining Co.,Ltd.",1515,"Mining",0.0064%,TOPIX Small 1
20241031,"MITSUI MATSUSHIMA HOLDINGS CO.,LTD.",1518,"Other Products",0.0078%,TOPIX Small 1
20241031,"INPEX CORPORATION",1605,"Mining",0.2208%,TOPIX Mid400
20241031,"Japan Petroleum Exploration Co.,Ltd.",1662,"Mining",0.0229%,TOPIX Small 1
20241031,"K&O Energy Group Inc.",1663,"Mining",0.0053%,TOPIX Small 1
20241031,"Ryoyo Ryosan Holdings,Inc.",167A,"Wholesale Trade",0.0120%,TOPIX Small 1
20241031,"Daiseki Eco.Solution Co.,Ltd.",1712,"Construction",0.0001%,TOPIX Small 2
20241031,"DAI-ICHI CUTTER KOGYO K.K.",1716,"Construction",0.0015%,TOPIX Small 2
20241031,"Meiho Facility Works Ltd.",1717,"Services",0.0001%,TOPIX Small 2
20241031,"HAZAMA ANDO CORPORATION",1719,"Construction",0.0238%,TOPIX Small 1
20241031,"TOKYU CONSTRUCTION CO., LTD.",1720,"Construction",0.0079%,TOPIX Small 1
20241031,"COMSYS Holdings Corporation",1721,"Construction",0.0414%,TOPIX Mid400
20241031,"Br.Holdings Corporation",1726,"Construction",0.0018%,TOPIX Small 2
20241031,"TAKAMATSU CONSTRUCTION GROUP CO.,LTD.",1762,"Construction",0.0080%,TOPIX Small 2
20241031,"TOKEN CORPORATION",1766,"Construction",0.0098%,TOPIX Small 1
20241031,"SONEC CORPORATION",1768,"Construction",0.0000%,TOPIX Small 2
20241031,"YAMAURA CORPORATION",1780,"Construction",0.0022%,TOPIX Small 2
20241031,"Oriental Shiraishi Corporation",1786,"Construction",0.0051%,TOPIX Small 2
20241031,"TAISEI CORPORATION",1801,"Construction",0.1489%,TOPIX Mid400
20241031,"OBAYASHI CORPORATION",1802,"Construction",0.1584%,TOPIX Mid400
20241031,"SHIMIZU CORPORATION",1803,"Construction",0.0732%,TOPIX Mid400
20241031,"HASEKO Corporation",1808,"Construction",0.0431%,TOPIX Mid400
20241031,"MATSUI CONSTRUCTION CO.,LTD.",1810,"Construction",0.0020%,TOPIX Small 2
20241031,"THE ZENITAKA CORPORATION",1811,"Construction",0.0001%,TOPIX Small 2
20241031,"KAJIMA CORPORATION",1812,"Construction",0.1494%,TOPIX Mid400
20241031,"Fudo Tetra Corporation",1813,"Construction",0.0034%,TOPIX Small 2
20241031,"DAISUE CONSTRUCTION CO.,LTD.",1814,"Construction",0.0002%,TOPIX Small 2
20241031,"TEKKEN CORPORATION",1815,"Construction",0.0040%,TOPIX Small 2
20241031,"Nishimatsu Construction Co.,Ltd.",1820,"Construction",0.0208%,TOPIX Mid400
20241031,"Sumitomo Mitsui Construction Co., Ltd.",1821,"Construction",0.0080%,TOPIX Small 1
20241031,"DAIHO CORPORATION",1822,"Construction",0.0025%,TOPIX Small 2
20241031,"Sata Construction Co.,Ltd.",1826,"Construction",0.0002%,TOPIX Small 2
20241031,"NAKANO CORPORATION",1827,"Construction",0.0001%,TOPIX Small 2
20241031,"OKUMURA CORPORATION",1833,"Construction",0.0193%,TOPIX Small 1
20241031,"TOTETSU KOGYO CO.,LTD.",1835,"Construction",0.0092%,TOPIX Small 1
20241031,"ICHIKEN Co.,Ltd.",1847,"Construction",0.0002%,TOPIX Small 2
20241031,"FUJI P.S CORPORATION",1848,"Construction",0.0001%,TOPIX Small 2
20241031,"ASANUMA CORPORATION",1852,"Construction",0.0067%,TOPIX Small 1
20241031,"TODA CORPORATION",1860,"Construction",0.0290%,TOPIX Mid400
20241031,"Kumagai Gumi Co.,Ltd.",1861,"Construction",0.0148%,TOPIX Small 1
20241031,"KITANO CONSTRUCTION CORP.",1866,"Construction",0.0002%,TOPIX Small 2
20241031,"UEKI CORPORATION",1867,"Construction",0.0001%,TOPIX Small 2
20241031,"YAHAGI CONSTRUCTION CO.,LTD.",1870,"Construction",0.0052%,TOPIX Small 2
20241031,"PS Construction Co.,Ltd.",1871,"Construction",0.0018%,TOPIX Small 2
20241031,"NIHON HOUSE HOLDINGS CO.,LTD.",1873,"Construction",0.0017%,TOPIX Small 2
20241031,"DAITO TRUST CONSTRUCTION CO.,LTD.",1878,"Real Estate",0.1464%,TOPIX Mid400
20241031,"SHINNIHON CORPORATION",1879,"Construction",0.0055%,TOPIX Small 2
20241031,"SAMTY HOLDINGS Co.,Ltd.",187A,"Real Estate",0.0164%,TOPIX Small 1
20241031,"TOA ROAD CORPORATION",1882,"Construction",0.0056%,TOPIX Small 2
20241031,"THE NIPPON ROAD CO.,LTD.",1884,"Construction",0.0042%,TOPIX Small 1
20241031,"TOA CORPORATION",1885,"Construction",0.0076%,TOPIX Small 1
20241031,"JDC CORPORATION",1887,"Construction",0.0037%,TOPIX Small 2
20241031,"WAKACHIKU CONSTRUCTION CO.,LTD.",1888,"Construction",0.0027%,TOPIX Small 2
20241031,"TOYO CONSTRUCTION CO.,LTD.",1890,"Construction",0.0096%,TOPIX Small 1
20241031,"PENTA-OCEAN CONSTRUCTION CO.,LTD.",1893,"Construction",0.0212%,TOPIX Mid400
20241031,"SEIKITOKYU KOGYO CO.,LTD.",1898,"Construction",0.0054%,TOPIX Small 1
20241031,"FUKUDA CORPORATION",1899,"Construction",0.0055%,TOPIX Small 2
20241031,"Nippon Dry-Chemical CO.,LTD.",1909,"Machinery",0.0002%,TOPIX Small 2
20241031,"Sumitomo Forestry Co.,Ltd.",1911,"Construction",0.1305%,TOPIX Mid400
20241031,"JAPAN FOUNDATION ENGINEERING CO.,LTD.",1914,"Construction",0.0001%,TOPIX Small 2
20241031,"TOMOE CORPORATION",1921,"Construction",0.0003%,TOPIX Small 2
20241031,"DAIWA HOUSE INDUSTRY CO.,LTD.",1925,"Construction",0.3501%,TOPIX Large70
20241031,"RAITO KOGYO CO.,LTD.",1926,"Construction",0.0115%,TOPIX Small 1
20241031,"Sekisui House,Ltd.",1928,"Construction",0.2861%,TOPIX Large70
20241031,"NITTOC CONSTRUCTION CO.,LTD.",1929,"Construction",0.0025%,TOPIX Small 2
20241031,"HOKURIKU ELECTRICAL CONSTRUCTION CO.,LTD.",1930,"Construction",0.0020%,TOPIX Small 2
20241031,"YURTEC CORPORATION",1934,"Construction",0.0073%,TOPIX Small 2
20241031,"NIPPON RIETEC CO.,LTD.",1938,"Construction",0.0021%,TOPIX Small 2
20241031,"YONDENKO CORPORATION",1939,"Construction",0.0041%,TOPIX Small 2
20241031,"CHUDENKO CORPORATION",1941,"Construction",0.0127%,TOPIX Small 1
20241031,"KANDENKO CO.,LTD.",1942,"Construction",0.0312%,TOPIX Mid400
20241031,"KINDEN CORPORATION",1944,"Construction",0.0563%,TOPIX Mid400
20241031,"TOKYO ENERGY & SYSTEMS INC.",1945,"Construction",0.0031%,TOPIX Small 2
20241031,"TOENEC CORPORATION",1946,"Construction",0.0040%,TOPIX Small 2
20241031,"SUMITOMO DENSETSU CO.,LTD.",1949,"Construction",0.0102%,TOPIX Small 1
20241031,"NIPPON DENSETSU KOGYO CO.,LTD.",1950,"Construction",0.0089%,TOPIX Small 2
20241031,"EXEO Group,Inc.",1951,"Construction",0.0422%,TOPIX Mid400
20241031,"Shin Nippon Air Technologies Co.,Ltd.",1952,"Construction",0.0056%,TOPIX Small 2
20241031,"KYUDENKO CORPORATION",1959,"Construction",0.0302%,TOPIX Mid400
20241031,"SANKI ENGINEERING CO.,LTD.",1961,"Construction",0.0127%,TOPIX Small 1
20241031,"JGC HOLDINGS CORPORATION",1963,"Construction",0.0332%,TOPIX Mid400
20241031,"Chugai Ro Co.,Ltd.",1964,"Construction",0.0024%,TOPIX Small 2
20241031,"YAMATO CORPORATION",1967,"Construction",0.0002%,TOPIX Small 2
20241031,"TAIHEI DENGYO KAISHA,LTD.",1968,"Construction",0.0083%,TOPIX Small 2
