日付,銘柄名,コード,業種,TOPIXに占める個別銘柄のウエイト,ニューインデックス区分
20241031,極洋,1301,水産・農林業,0.0063%,TOPIX Small 2
20241031,ニッスイ,1332,水産・農林業,0.0338%,TOPIX Mid400
20241031,マルハニチロ,1333,水産・農林業,0.0162%,TOPIX Mid400
20241031,雪国まいたけ,1375,水産・農林業,0.0032%,TOPIX Small 2
20241031,カネコ種苗,1376,水産・農林業,0.0014%,TOPIX Small 2
20241031,サカタのタネ,1377,水産・農林業,0.0144%,TOPIX Small 1
20241031,ホクト,1379,水産・農林業,0.0059%,TOPIX Small 2
20241031,ホクリヨウ,1384,水産・農林業,0.0001%,TOPIX Small 2
20241031,ショーボンドホールディングス,1414,建設業,0.0257%,TOPIX Mid400
20241031,ミライト・ワン,1417,建設業,0.0260%,TOPIX Mid400
20241031,タマホーム,1419,建設業,0.0088%,TOPIX Small 1
20241031,サンヨーホームズ,1420,建設業,0.0000%,TOPIX Small 2
20241031,日本アクア,1429,建設業,0.0002%,TOPIX Small 2
20241031,ファーストコーポレーション,1430,建設業,0.0001%,TOPIX Small 2
20241031,ベステラ,1433,建設業,0.0001%,TOPIX Small 2
20241031,ｒｏｂｏｔ　ｈｏｍｅ,1435,不動産業,0.0009%,TOPIX Small 2
20241031,キャンディル,1446,建設業,0.0000%,TOPIX Small 2
20241031,住石ホールディングス,1514,鉱業,0.0038%,TOPIX Small 1
20241031,日鉄鉱業,1515,鉱業,0.0064%,TOPIX Small 1
20241031,三井松島ホールディングス,1518,その他製品,0.0078%,TOPIX Small 1
20241031,ＩＮＰＥＸ,1605,鉱業,0.2208%,TOPIX Mid400
20241031,石油資源開発,1662,鉱業,0.0229%,TOPIX Small 1
20241031,Ｋ＆Ｏエナジーグループ,1663,鉱業,0.0053%,TOPIX Small 1
20241031,リョーサン菱洋ホールディングス,167A,卸売業,0.0120%,TOPIX Small 1
20241031,ダイセキ環境ソリューション,1712,建設業,0.0001%,TOPIX Small 2
20241031,第一カッター興業,1716,建設業,0.0015%,TOPIX Small 2
20241031,明豊ファシリティワークス,1717,サービス業,0.0001%,TOPIX Small 2
20241031,安藤・間,1719,建設業,0.0238%,TOPIX Small 1
20241031,東急建設,1720,建設業,0.0079%,TOPIX Small 1
20241031,コムシスホールディングス,1721,建設業,0.0414%,TOPIX Mid400
20241031,ビーアールホールディングス,1726,建設業,0.0018%,TOPIX Small 2
20241031,高松コンストラクショングループ,1762,建設業,0.0080%,TOPIX Small 2
20241031,東建コーポレーション,1766,建設業,0.0098%,TOPIX Small 1
20241031,ソネック,1768,建設業,0.0000%,TOPIX Small 2
20241031,ヤマウラ,1780,建設業,0.0022%,TOPIX Small 2
20241031,オリエンタル白石,1786,建設業,0.0051%,TOPIX Small 2
20241031,大成建設,1801,建設業,0.1489%,TOPIX Mid400
20241031,大林組,1802,建設業,0.1584%,TOPIX Mid400
20241031,清水建設,1803,建設業,0.0732%,TOPIX Mid400
20241031,長谷工コーポレーション,1808,建設業,0.0431%,TOPIX Mid400
20241031,松井建設,1810,建設業,0.0020%,TOPIX Small 2
20241031,錢高組,1811,建設業,0.0001%,TOPIX Small 2
20241031,鹿島建設,1812,建設業,0.1494%,TOPIX Mid400
20241031,不動テトラ,1813,建設業,0.0034%,TOPIX Small 2
20241031,大末建設,1814,建設業,0.0002%,TOPIX Small 2
20241031,鉄建建設,1815,建設業,0.0040%,TOPIX Small 2
20241031,西松建設,1820,建設業,0.0208%,TOPIX Mid400
